nome,id_pokedex,geracao,status,especie,num_tipos,tipo_primario,tipo_secundario,altura_m,peso_kg,num_habilidades,habilidade_1,habilidade_2,habilidade_escondida,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,taxa_crescimento,porcentagem_macho
Venonat,48,1,Normal,Insect Pokémon,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305,60,55,50,40,55,45,190,Medium Fast,50.0
Venomoth,49,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450,70,65,60,90,75,90,75,Medium Fast,50.0
Diglett,50,1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255,Medium Fast,50.0
Alolan Diglett,50,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255,Medium Fast,50.0
Dugtrio,51,1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50,Medium Fast,50.0
Alolan Dugtrio,51,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50,Medium Fast,50.0
Meowth,52,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255,Medium Fast,50.0
Alolan Meowth,52,1,Normal,Scratch Cat Pokémon,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255,Medium Fast,50.0
Galarian Meowth,52,1,Normal,Scratch Cat Pokémon,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,255,Medium Fast,
Persian,53,1,Normal,Classy Cat Pokémon,1,Normal,,1.0,32.0,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90,Medium Fast,50.0
Alolan Persian,53,1,Normal,Classy Cat Pokémon,1,Dark,,1.1,33.0,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90,Medium Fast,50.0
Psyduck,54,1,Normal,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190,Medium Fast,50.0
Golduck,55,1,Normal,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75,Medium Fast,50.0
Mankey,56,1,Normal,Pig Monkey Pokémon,1,Fighting,,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190,Medium Fast,50.0
Primeape,57,1,Normal,Pig Monkey Pokémon,1,Fighting,,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,75,Medium Fast,50.0
Growlithe,58,1,Normal,Puppy Pokémon,1,Fire,,0.7,19.0,3,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,190,Slow,75.0
Arcanine,59,1,Normal,Legendary Pokémon,1,Fire,,1.9,155.0,3,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,75,Slow,75.0
Poliwag,60,1,Normal,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,255,Medium Slow,50.0
Poliwhirl,61,1,Normal,Tadpole Pokémon,1,Water,,1.0,20.0,3,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,120,Medium Slow,50.0
Poliwrath,62,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54.0,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,45,Medium Slow,50.0
Abra,63,1,Normal,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,200,Medium Slow,75.0
Kadabra,64,1,Normal,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,100,Medium Slow,75.0
Alakazam,65,1,Normal,Psi Pokémon,1,Psychic,,1.5,48.0,3,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,50,Medium Slow,75.0
Mega Alakazam,65,1,Normal,Psi Pokémon,1,Psychic,,1.2,48.0,1,Trace,,,600,55,50,65,175,105,150,50,Medium Slow,75.0
Machop,66,1,Normal,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,180,Medium Slow,75.0
Machoke,67,1,Normal,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,90,Medium Slow,75.0
Machamp,68,1,Normal,Superpower Pokémon,1,Fighting,,1.6,130.0,3,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,45,Medium Slow,75.0
Bellsprout,69,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4.0,2,Chlorophyll,,Gluttony,300,50,75,35,70,30,40,255,Medium Slow,50.0
Weepinbell,70,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.0,6.4,2,Chlorophyll,,Gluttony,390,65,90,50,85,45,55,120,Medium Slow,50.0
Victreebel,71,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,,Gluttony,490,80,105,65,100,70,70,45,Medium Slow,50.0
Tentacool,72,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70,190,Slow,50.0
Tentacruel,73,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55.0,3,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100,60,Slow,50.0
Geodude,74,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20.0,3,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20,255,Medium Slow,50.0
Alolan Geodude,74,1,Normal,Rock Pokémon,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,300,40,80,100,30,30,20,255,Medium Slow,50.0
Graveler,75,1,Normal,Rock Pokémon,2,Rock,Ground,1.0,105.0,3,Rock Head,Sturdy,Sand Veil,390,55,95,115,45,45,35,120,Medium Slow,50.0
Alolan Graveler,75,1,Normal,Rock Pokémon,2,Rock,Electric,1.0,110.0,3,Magnet Pull,Sturdy,Galvanize,390,55,95,115,45,45,35,120,Medium Slow,50.0
Golem,76,1,Normal,Megaton Pokémon,2,Rock,Ground,1.4,300.0,3,Rock Head,Sturdy,Sand Veil,495,80,120,130,55,65,45,45,Medium Slow,50.0
Alolan Golem,76,1,Normal,Megaton Pokémon,2,Rock,Electric,1.7,316.0,3,Magnet Pull,Sturdy,Galvanize,495,80,120,130,55,65,45,45,Medium Slow,50.0
Ponyta,77,1,Normal,Fire Horse Pokémon,1,Fire,,1.0,30.0,3,Run Away,Flash Fire,Flame Body,410,50,85,55,65,65,90,190,Medium Fast,50.0
Galarian Ponyta,77,1,Normal,Unique Horn Pokémon,1,Psychic,,0.8,24.0,3,Run Away,Pastel Veil,Anticipation,410,50,85,55,65,65,90,190,Medium Fast,
Rapidash,78,1,Normal,Fire Horse Pokémon,1,Fire,,1.7,95.0,3,Run Away,Flash Fire,Flame Body,500,65,100,70,80,80,105,60,Medium Fast,50.0
Galarian Rapidash,78,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80.0,3,Run Away,Pastel Veil,Anticipation,500,65,100,70,80,80,105,60,Medium Fast,
Slowpoke,79,1,Normal,Dopey Pokémon,2,Water,Psychic,1.2,36.0,3,Oblivious,Own Tempo,Regenerator,315,90,65,65,40,40,15,190,Medium Fast,50.0
Galarian Slowpoke,79,8,Normal,Dopey Pokémon,1,Psychic,,1.2,36.0,3,Gluttony,Own Tempo,Regenerator,315,90,65,65,40,40,15,190,Medium Fast,50.0
Slowbro,80,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,110,100,80,30,75,Medium Fast,50.0
Mega Slowbro,80,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,2.0,120.0,1,Shell Armor,,,590,95,75,180,130,80,30,75,Medium Fast,50.0
Galarian Slowbro,80,8,Normal,Hermit Crab Pokémon,2,Poison,Psychic,1.6,70.5,3,Quick Draw,Own Tempo,Regenerator,490,95,100,95,100,70,30,75,Medium Fast,50.0
Magnemite,81,1,Normal,Magnet Pokémon,2,Electric,Steel,0.3,6.0,3,Magnet Pull,Sturdy,Analytic,325,25,35,70,95,55,45,190,Medium Fast,
Magneton,82,1,Normal,Magnet Pokémon,2,Electric,Steel,1.0,60.0,3,Magnet Pull,Sturdy,Analytic,465,50,60,95,120,70,70,60,Medium Fast,
Farfetch'd,83,1,Normal,Wild Duck Pokémon,2,Normal,Flying,0.8,15.0,3,Keen Eye,Inner Focus,Defiant,377,52,90,55,58,62,60,45,Medium Fast,50.0
Galarian Farfetch'd,83,1,Normal,Wild Duck Pokémon,1,Fighting,,0.8,42.0,2,Steadfast,,Scrappy,377,52,95,55,58,62,55,45,Medium Fast,
Doduo,84,1,Normal,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,310,35,85,45,35,35,75,190,Medium Fast,50.0
Dodrio,85,1,Normal,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,470,60,110,70,60,60,110,45,Medium Fast,50.0
Seel,86,1,Normal,Sea Lion Pokémon,1,Water,,1.1,90.0,3,Thick Fat,Hydration,Ice Body,325,65,45,55,45,70,45,190,Medium Fast,50.0
Dewgong,87,1,Normal,Sea Lion Pokémon,2,Water,Ice,1.7,120.0,3,Thick Fat,Hydration,Ice Body,475,90,70,80,70,95,70,75,Medium Fast,50.0
Grimer,88,1,Normal,Sludge Pokémon,1,Poison,,0.9,30.0,3,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25,190,Medium Fast,50.0
Alolan Grimer,88,1,Normal,Sludge Pokémon,2,Poison,Dark,0.7,42.0,3,Poison Touch,Gluttony,Power of Alchemy,325,80,80,50,40,50,25,190,Medium Fast,50.0
Muk,89,1,Normal,Sludge Pokémon,1,Poison,,1.2,30.0,3,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50,75,Medium Fast,50.0
Alolan Muk,89,1,Normal,Sludge Pokémon,2,Poison,Dark,1.0,52.0,3,Poison Touch,Gluttony,Power of Alchemy,500,105,105,75,65,100,50,75,Medium Fast,50.0
Shellder,90,1,Normal,Bivalve Pokémon,1,Water,,0.3,4.0,3,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40,190,Slow,50.0
Cloyster,91,1,Normal,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70,60,Slow,50.0
Gastly,92,1,Normal,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,,,310,30,35,30,100,35,80,190,Medium Slow,50.0
Haunter,93,1,Normal,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,,,405,45,50,45,115,55,95,90,Medium Slow,50.0
Gengar,94,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,,,500,60,65,60,130,75,110,45,Medium Slow,50.0
Mega Gengar,94,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,,,600,60,65,80,170,95,130,45,Medium Slow,50.0
Onix,95,1,Normal,Rock Snake Pokémon,2,Rock,Ground,8.8,210.0,3,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70,45,Medium Fast,50.0
Drowzee,96,1,Normal,Hypnosis Pokémon,1,Psychic,,1.0,32.4,3,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42,190,Medium Fast,50.0
Hypno,97,1,Normal,Hypnosis Pokémon,1,Psychic,,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67,75,Medium Fast,50.0
Krabby,98,1,Normal,River Crab Pokémon,1,Water,,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50,225,Medium Fast,50.0
Kingler,99,1,Normal,Pincer Pokémon,1,Water,,1.3,60.0,3,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75,60,Medium Fast,50.0
Voltorb,100,1,Normal,Ball Pokémon,1,Electric,,0.5,10.4,3,Soundproof,Static,Aftermath,330,40,30,50,55,55,100,190,Medium Fast,
Electrode,101,1,Normal,Ball Pokémon,1,Electric,,1.2,66.6,3,Soundproof,Static,Aftermath,490,60,50,70,80,80,150,60,Medium Fast,
Exeggcute,102,1,Normal,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,,Harvest,325,60,40,80,60,45,40,90,Slow,50.0
Exeggutor,103,1,Normal,Coconut Pokémon,2,Grass,Psychic,2.0,120.0,2,Chlorophyll,,Harvest,530,95,95,85,125,75,55,45,Slow,50.0
Alolan Exeggutor,103,1,Normal,Coconut Pokémon,2,Grass,Dragon,10.9,415.6,2,Frisk,,Harvest,530,95,105,85,125,75,45,45,Slow,50.0
Cubone,104,1,Normal,Lonely Pokémon,1,Ground,,0.4,6.5,3,Rock Head,Lightning Rod,Battle Armor,320,50,50,95,40,50,35,190,Medium Fast,50.0
Marowak,105,1,Normal,Bone Keeper Pokémon,1,Ground,,1.0,45.0,3,Rock Head,Lightning Rod,Battle Armor,425,60,80,110,50,80,45,75,Medium Fast,50.0
Alolan Marowak,105,1,Normal,Bone Keeper Pokémon,2,Fire,Ghost,1.0,34.0,3,Cursed Body,Lightning Rod,Rock Head,425,60,80,110,50,80,45,75,Medium Fast,50.0
Hitmonlee,106,1,Normal,Kicking Pokémon,1,Fighting,,1.5,49.8,3,Limber,Reckless,Unburden,455,50,120,53,35,110,87,45,Medium Fast,100.0
Hitmonchan,107,1,Normal,Punching Pokémon,1,Fighting,,1.4,50.2,3,Keen Eye,Iron Fist,Inner Focus,455,50,105,79,35,110,76,45,Medium Fast,100.0
Lickitung,108,1,Normal,Licking Pokémon,1,Normal,,1.2,65.5,3,Own Tempo,Oblivious,Cloud Nine,385,90,55,75,60,75,30,45,Medium Fast,50.0
Koffing,109,1,Normal,Poison Gas Pokémon,1,Poison,,0.6,1.0,3,Levitate,Neutralizing Gas,Stench,340,40,65,95,60,45,35,190,Medium Fast,50.0
Weezing,110,1,Normal,Poison Gas Pokémon,1,Poison,,1.2,9.5,3,Levitate,Neutralizing Gas,Stench,490,65,90,120,85,70,60,60,Medium Fast,50.0
Galarian Weezing,110,1,Normal,Poison Gas Pokémon,2,Poison,Fairy,3.0,16.0,3,Levitate,Neutralizing Gas,Misty Surge,490,65,90,120,85,70,60,60,Medium Fast,
Rhyhorn,111,1,Normal,Spikes Pokémon,2,Ground,Rock,1.0,115.0,3,Lightning Rod,Rock Head,Reckless,345,80,85,95,30,30,25,120,Slow,50.0
Rhydon,112,1,Normal,Drill Pokémon,2,Ground,Rock,1.9,120.0,3,Lightning Rod,Rock Head,Reckless,485,105,130,120,45,45,40,60,Slow,50.0
Chansey,113,1,Normal,Egg Pokémon,1,Normal,,1.1,34.6,3,Natural Cure,Serene Grace,Healer,450,250,5,5,35,105,50,30,Fast,0.0
Tangela,114,1,Normal,Vine Pokémon,1,Grass,,1.0,35.0,3,Chlorophyll,Leaf Guard,Regenerator,435,65,55,115,100,40,60,45,Medium Fast,50.0
Kangaskhan,115,1,Normal,Parent Pokémon,1,Normal,,2.2,80.0,3,Early Bird,Scrappy,Inner Focus,490,105,95,80,40,80,90,45,Medium Fast,0.0
Mega Kangaskhan,115,1,Normal,Parent Pokémon,1,Normal,,2.2,100.0,1,Parental Bond,,,590,105,125,100,60,100,100,45,Medium Fast,0.0
Horsea,116,1,Normal,Dragon Pokémon,1,Water,,0.4,8.0,3,Swift Swim,Sniper,Damp,295,30,40,70,70,25,60,225,Medium Fast,50.0
Seadra,117,1,Normal,Dragon Pokémon,1,Water,,1.2,25.0,3,Poison Point,Sniper,Damp,440,55,65,95,95,45,85,75,Medium Fast,50.0
Goldeen,118,1,Normal,Goldfish Pokémon,1,Water,,0.6,15.0,3,Swift Swim,Water Veil,Lightning Rod,320,45,67,60,35,50,63,225,Medium Fast,50.0
Seaking,119,1,Normal,Goldfish Pokémon,1,Water,,1.3,39.0,3,Swift Swim,Water Veil,Lightning Rod,450,80,92,65,65,80,68,60,Medium Fast,50.0
Staryu,120,1,Normal,Star Shape Pokémon,1,Water,,0.8,34.5,3,Illuminate,Natural Cure,Analytic,340,30,45,55,70,55,85,225,Slow,
Starmie,121,1,Normal,Mysterious Pokémon,2,Water,Psychic,1.1,80.0,3,Illuminate,Natural Cure,Analytic,520,60,75,85,100,85,115,60,Slow,
Mr. Mime,122,1,Normal,Barrier Pokémon,2,Psychic,Fairy,1.3,54.5,3,Soundproof,Filter,Technician,460,40,45,65,100,120,90,45,Medium Fast,50.0
